driverId,week,hours-logged,miles-logged
779,27,70,2400
167,12,72,3200
119,34,69,400
754,48,79,100
815,1,58,2900
105,13,60,400
611,36,72,700
396,33,59,3600
763,38,75,200
568,10,52,2000
453,4,77,100
914,4,62,0
169,49,65,1100
270,10,59,3800
312,17,71,200
703,31,53,200
139,2,53,1800
912,11,77,1500
113,20,54,3600
188,44,67,3400
958,28,54,2700
712,13,69,400
651,11,57,1200
66,30,68,1600
725,14,69,1200
19,31,76,2600
918,39,74,1300
902,28,64,900
55,31,69,1700
74,2,57,2100
181,15,65,300
52,27,79,500
27,19,69,3300
196,50,79,1700
36,51,79,300
70,50,77,800
778,21,72,2900
970,25,71,3500
56,9,65,2100
762,30,51,3100
874,5,79,1800
401,44,59,700
612,20,73,3300
53,18,68,2100
729,37,70,3500
889,48,62,3600
822,45,71,3000
264,32,77,1100
434,46,66,3400
545,1,50,600
45,45,54,400
254,38,51,3900
597,46,66,1600
671,8,75,700
892,17,63,500
533,5,52,1800
455,44,70,2200
896,44,60,1700
878,24,74,3200
859,51,79,2900
867,13,60,3700
366,43,80,3900
745,4,64,1400
590,39,54,200
245,48,64,3400
633,11,79,2800
312,27,55,3900
391,42,64,2000
736,42,69,3400
925,27,75,3300
845,4,74,4000
492,6,66,2700
363,38,77,900
496,52,76,1100
617,44,79,1400
453,41,50,1200
614,35,52,300
540,4,62,1900
229,38,58,700
335,30,80,600
387,34,77,4000
348,50,55,1200
637,4,51,3600
1006,10,64,0
872,42,65,300
392,20,78,100
213,13,66,2200
67,48,71,1100
465,5,71,2800
882,52,63,0
866,28,64,3500
178,35,75,500
307,20,54,2300
834,36,66,0
345,18,70,600
589,23,78,1400
619,48,80,1600
791,46,61,3200
87,34,53,800
345,45,74,2800
407,43,76,1600
593,13,57,3500
539,24,76,2100
373,8,62,3100
994,13,73,2600
516,14,67,1200
982,33,54,2000
744,13,65,1800
383,24,77,2200
248,30,53,1500
10,4,62,900
46,29,61,2800
71,8,75,1500
889,31,76,3600
974,1,80,600
789,48,65,100
103,14,55,200
340,34,51,2100
746,29,77,3700
722,29,56,100
254,36,80,700
